"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_1_H8",63,"Plate_1","H8","61217_001_C12_D29_H8","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H9",71,"Plate_1","H9","61217_001_C12_D29_H9","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_2_A10",168,"Plate_2","A10","HSA0830_A10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A11",176,"Plate_2","A11","HSA0830_A11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A12",184,"Plate_2","A12","HSA0830_A12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A1",96,"Plate_2","A1","HSA0830_A1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A2",104,"Plate_2","A2","HSA0830_A2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A3",112,"Plate_2","A3","HSA0830_A3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A4",120,"Plate_2","A4","HSA0830_A4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A5",128,"Plate_2","A5","HSA0830_A5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A6",136,"Plate_2","A6","HSA0830_A6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A7",144,"Plate_2","A7","HSA0830_A7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A8",152,"Plate_2","A8","HSA0830_A8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_A9",160,"Plate_2","A9","HSA0830_A9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B10",169,"Plate_2","B10","HSA0830_B10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B11",177,"Plate_2","B11","HSA0830_B11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B12",185,"Plate_2","B12","HSA0830_B12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B1",97,"Plate_2","B1","HSA0830_B1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B2",105,"Plate_2","B2","HSA0830_B2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B3",113,"Plate_2","B3","HSA0830_B3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B4",121,"Plate_2","B4","HSA0830_B4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B5",129,"Plate_2","B5","HSA0830_B5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B6",137,"Plate_2","B6","HSA0830_B6","HSA0830","HSA","HSA0830",TRUE
"Plate_2_B7",145,"Plate_2","B7","HSA0830_B7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B8",153,"Plate_2","B8","HSA0830_B8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_B9",161,"Plate_2","B9","HSA0830_B9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C10",170,"Plate_2","C10","HSA0830_C10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C11",178,"Plate_2","C11","HSA0830_C11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C12",186,"Plate_2","C12","HSA0830_C12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C1",98,"Plate_2","C1","HSA0830_C1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C2",106,"Plate_2","C2","HSA0830_C2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C3",114,"Plate_2","C3","HSA0830_C3","HSA0830","HSA","HSA0830",TRUE
"Plate_2_C4",122,"Plate_2","C4","HSA0830_C4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C5",130,"Plate_2","C5","HSA0830_C5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C6",138,"Plate_2","C6","HSA0830_C6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C7",146,"Plate_2","C7","HSA0830_C7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C8",154,"Plate_2","C8","HSA0830_C8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_C9",162,"Plate_2","C9","HSA0830_C9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D10",171,"Plate_2","D10","HSA0830_D10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D11",179,"Plate_2","D11","HSA0830_D11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D12",187,"Plate_2","D12","HSA0830_D12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_D1",99,"Plate_2","D1","HSA0830_D1","HSA0830","HSA","HSA0830",FALSE
