Sample	Top over-represented sequence	Sum of remaining over-represented sequences
qc | fastqc-novaseq | Plate_1_F8_22NG7YLT3_S505_L008_R2_001	4.392879540740026	23.01606445076946
qc | fastqc-novaseq | Plate_1_F9_22NG7YLT3_S569_L008_R1_001	5.0786586533638545	37.699428185789486
qc | fastqc-novaseq | Plate_1_F9_22NG7YLT3_S569_L008_R2_001	5.275647280918551	36.58388888382231
qc | fastqc-novaseq | Plate_1_G10_22NG7YLT3_S634_L008_R1_001	5.875186422164807	31.858760266347417
qc | fastqc-novaseq | Plate_1_G10_22NG7YLT3_S634_L008_R2_001	5.26078097758733	31.441542210179186
qc | fastqc-novaseq | Plate_1_G11_22NG7YLT3_S698_L008_R1_001	6.606150566414105	34.41013034468208
qc | fastqc-novaseq | Plate_1_G11_22NG7YLT3_S698_L008_R2_001	5.978324582967357	33.31445586911785
qc | fastqc-novaseq | Plate_1_G12_22NG7YLT3_S762_L008_R1_001	6.264974137577544	38.09728137026904
qc | fastqc-novaseq | Plate_1_G12_22NG7YLT3_S762_L008_R2_001	5.7308843601173916	37.22548634827283
qc | fastqc-novaseq | Plate_1_G1_22NG7YLT3_S7_L008_R1_001	6.298130078942194	40.020694523687496
qc | fastqc-novaseq | Plate_1_G1_22NG7YLT3_S7_L008_R2_001	5.709045311981226	40.16929538692633
qc | fastqc-novaseq | Plate_1_G2_22NG7YLT3_S79_L008_R1_001	5.87463023339366	30.399935532178503
qc | fastqc-novaseq | Plate_1_G2_22NG7YLT3_S79_L008_R2_001	5.084227880318175	30.804874035920676
qc | fastqc-novaseq | Plate_1_G3_22NG7YLT3_S151_L008_R1_001	6.057117035698147	40.183642114776326
qc | fastqc-novaseq | Plate_1_G3_22NG7YLT3_S151_L008_R2_001	5.398282873926796	40.234252146407606
qc | fastqc-novaseq | Plate_1_G4_22NG7YLT3_S223_L008_R1_001	3.4392142846042675	43.59912352950321
qc | fastqc-novaseq | Plate_1_G4_22NG7YLT3_S223_L008_R2_001	5.973830207151627	39.89121820074903
qc | fastqc-novaseq | Plate_1_G5_22NG7YLT3_S295_L008_R1_001	6.203107540041505	35.32299260362901
qc | fastqc-novaseq | Plate_1_G5_22NG7YLT3_S295_L008_R2_001	5.968977810887032	34.37782685042304
qc | fastqc-novaseq | Plate_1_G6_22NG7YLT3_S367_L008_R1_001	7.228124319281927	30.233111124783203
qc | fastqc-novaseq | Plate_1_G6_22NG7YLT3_S367_L008_R2_001	6.489332160489003	30.708512156065897
qc | fastqc-novaseq | Plate_1_G7_22NG7YLT3_S439_L008_R1_001	3.9746570035097317	35.57135694425451
qc | fastqc-novaseq | Plate_1_G7_22NG7YLT3_S439_L008_R2_001	6.01497333515657	30.641779479465782
qc | fastqc-novaseq | Plate_1_G8_22NG7YLT3_S506_L008_R1_001	5.609897143647966	24.947484443038544
qc | fastqc-novaseq | Plate_1_G8_22NG7YLT3_S506_L008_R2_001	4.805729509047504	23.664869193015058
qc | fastqc-novaseq | Plate_1_G9_22NG7YLT3_S570_L008_R1_001	4.896036722994839	42.67498082811658
qc | fastqc-novaseq | Plate_1_G9_22NG7YLT3_S570_L008_R2_001	4.898756139081816	41.783012351587864
