Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_1_C2_22NG7YLT3_S75_L008_R1_001	52697.0	111031.0
qc | fastqc-novaseq | Plate_1_C2_22NG7YLT3_S75_L008_R2_001	59107.0	104621.0
qc | fastqc-novaseq | Plate_1_C3_22NG7YLT3_S147_L008_R1_001	67505.0	164479.0
qc | fastqc-novaseq | Plate_1_C3_22NG7YLT3_S147_L008_R2_001	76340.0	155644.0
qc | fastqc-novaseq | Plate_1_C4_22NG7YLT3_S219_L008_R1_001	103196.0	188115.0
qc | fastqc-novaseq | Plate_1_C4_22NG7YLT3_S219_L008_R2_001	103758.0	187553.0
qc | fastqc-novaseq | Plate_1_C5_22NG7YLT3_S291_L008_R1_001	6838.0	10796.0
qc | fastqc-novaseq | Plate_1_C5_22NG7YLT3_S291_L008_R2_001	6994.0	10640.0
qc | fastqc-novaseq | Plate_1_C6_22NG7YLT3_S363_L008_R1_001	65462.0	93153.0
qc | fastqc-novaseq | Plate_1_C6_22NG7YLT3_S363_L008_R2_001	64655.0	93960.0
qc | fastqc-novaseq | Plate_1_C7_22NG7YLT3_S435_L008_R1_001	2179.0	882.0
qc | fastqc-novaseq | Plate_1_C7_22NG7YLT3_S435_L008_R2_001	2163.0	898.0
qc | fastqc-novaseq | Plate_1_C8_22NG7YLT3_S502_L008_R1_001	77749.0	98861.0
qc | fastqc-novaseq | Plate_1_C8_22NG7YLT3_S502_L008_R2_001	83303.0	93307.0
qc | fastqc-novaseq | Plate_1_C9_22NG7YLT3_S566_L008_R1_001	87044.0	184581.0
qc | fastqc-novaseq | Plate_1_C9_22NG7YLT3_S566_L008_R2_001	92267.0	179358.0
qc | fastqc-novaseq | Plate_1_D10_22NG7YLT3_S631_L008_R1_001	127713.0	252250.0
qc | fastqc-novaseq | Plate_1_D10_22NG7YLT3_S631_L008_R2_001	136478.0	243485.0
qc | fastqc-novaseq | Plate_1_D11_22NG7YLT3_S695_L008_R1_001	177536.0	479767.0
qc | fastqc-novaseq | Plate_1_D11_22NG7YLT3_S695_L008_R2_001	196365.0	460938.0
qc | fastqc-novaseq | Plate_1_D12_22NG7YLT3_S759_L008_R1_001	175099.0	486057.0
